Model,Accuracy,Precision,Recall,F1_Score,Accuracy_Percent,Precision_Percent,Recall_Percent,F1_Percent
Decision Tree,0.7846153846153846,0.7703629703629704,0.7846153846153846,0.7591252823169922,78.46153846153847,77.03629703629704,78.46153846153847,75.91252823169921
Gradient Boosting,0.7538461538461538,0.7352101506740681,0.7538461538461538,0.7406456329533253,75.38461538461539,73.52101506740681,75.38461538461539,74.06456329533253
Random Forest,0.7076923076923077,0.6941838649155723,0.7076923076923077,0.6231530526902703,70.76923076923077,69.41838649155723,70.76923076923077,62.315305269027036
Logistic Regression,0.6846153846153846,0.624102564102564,0.6846153846153846,0.636083916083916,68.46153846153847,62.4102564102564,68.46153846153847,63.6083916083916
Extra Trees,0.6692307692307692,0.6250295857988166,0.6692307692307692,0.6375874125874127,66.92307692307692,62.502958579881664,66.92307692307692,63.75874125874127
